Discipline	Gender	Event	phase	Eventunit	schedule	medalflag	ENG longdescription	ENG Description	FRA longdescription	FRA Description	Eventunittype	cisSchedule	infoSchedule	scheduleFilter11	scheduleFilter12	scheduleFilter21	scheduleFilter22	groupCriteria
WR	M	255	4	04	Y	0	Men's Freestyle 55 kg 1/8 Final	Men's FR 55 kg 1/8 Final	Lutte libre, 55 kg - hommes, 8e de finale	Libre, 55 kg - hommes, 1/8 finale	HATH	N	Y					
WR	M	255	4	05	Y	0	Men's Freestyle 55 kg 1/8 Final	Men's FR 55 kg 1/8 Final	Lutte libre, 55 kg - hommes, 8e de finale	Libre, 55 kg - hommes, 1/8 finale	HATH	N	Y					
WR	M	255	4	06	Y	0	Men's Freestyle 55 kg 1/8 Final	Men's FR 55 kg 1/8 Final	Lutte libre, 55 kg - hommes, 8e de finale	Libre, 55 kg - hommes, 1/8 finale	HATH	N	Y					
WR	M	255	4	07	Y	0	Men's Freestyle 55 kg 1/8 Final	Men's FR 55 kg 1/8 Final	Lutte libre, 55 kg - hommes, 8e de finale	Libre, 55 kg - hommes, 1/8 finale	HATH	N	Y					
WR	M	255	4	08	Y	0	Men's Freestyle 55 kg 1/8 Final	Men's FR 55 kg 1/8 Final	Lutte libre, 55 kg - hommes, 8e de finale	Libre, 55 kg - hommes, 1/8 finale	HATH	N	Y					
WR	M	255	4	50	N	0	Men's Freestyle 55 kg - Repechage Round 1	Men's FR 55 kg Repechage Rnd 1	Lutte libre, 55 kg - hommes, 1er tour repêchage	Libre, 55 kg - hommes, 1e repêchage	NONE	N	N					
WR	M	255	4	51	Y	0	Men's Freestyle 55 kg - Repechage Round 1	Men's FR 55 kg Repechage Rnd 1	Lutte libre, 55 kg - hommes, 1er tour repêchage	Libre, 55 kg - hommes, 1e repêchage	HATH	N	Y					
WR	M	255	4	52	Y	0	Men's Freestyle 55 kg - Repechage Round 1	Men's FR 55 kg Repechage Rnd 1	Lutte libre, 55 kg - hommes, 1er tour de repêchage	Libre, 55 kg - hommes, 1er repêchage	HATH	N	Y					
WR	M	255	5	00	N	0	Men's Freestyle 55 kg Qualifications	Men's FR 55 kg Qualifications	Lutte libre, 55 kg - hommes, qualifications	Libre, 55 kg - hommes, qualifications	NONE	N	N					
WR	M	255	5	01	Y	0	Men's Freestyle 55 kg Qualification	Men's FR 55 kg Qualification	Lutte libre, 55 kg - hommes, qualification	Libre, 55 kg - hommes, qualification	HATH	N	Y					
WR	M	255	5	02	Y	0	Men's Freestyle 55 kg Qualification	Men's FR 55 kg Qualification	Lutte libre, 55 kg - hommes, qualification	Libre, 55 kg - hommes, qualification	HATH	N	Y					
WR	M	255	5	03	Y	0	Men's Freestyle 55 kg Qualification	Men's FR 55 kg Qualification	Lutte libre, 55 kg - hommes, qualification	Libre, 55 kg - hommes, qualification	HATH	N	Y					
WR	M	255	5	04	Y	0	Men's Freestyle 55 kg Qualification	Men's FR 55 kg Qualification	Lutte libre, 55 kg - hommes, qualification	Libre, 55 kg - hommes, qualification	HATH	N	Y					
WR	M	255	5	05	Y	0	Men's Freestyle 55 kg Qualification	Men's FR 55 kg Qualification	Lutte libre, 55 kg - hommes, qualification	Libre, 55 kg - hommes, qualification	HATH	N	Y					
