Discipline	Gender	Event	phase	type	ENG longdescription	ENG Description	FRA longdescription	FRA Description
HB	0	HBA	0	8	Handball Arena	Handball Arena	Pavillon de handball	Pavillon de handball
HB	M	000	0	8	Men	Men	Hommes	Hommes
HB	M	000	Y	8	Handball Men's Daily Schedule	Handball Men's Daily Schedule	Handball - hommes, calendrier par jour	Handball - hommes, calendrier par jour
HB	M	400	0	8	Men	Men	Hommes	Hommes
HB	M	400	1	3	Men's Medal Matches	Men's Medal Matches	Hommes, matchs pour les médailles	Hommes, matchs médailles
HB	M	400	2	3	Men's Semifinals	Men's Semifinals	Hommes, demi-finales	Hommes, demi-finales
HB	M	400	3	3	Men's Quarterfinals	Men's Quarterfinals	Hommes, quarts de finale	Hommes, quarts de finale
HB	M	400	9	3	Men's Preliminaries	Men's Preliminaries	Hommes, éliminatoires	Hommes, éliminatoires
HB	M	400	A	3	Men's Preliminaries Group A	Men's Preliminaries Group A	Hommes, éliminatoires, groupe A	Hommes, éliminatoires, groupe A
HB	M	400	B	3	Men's Preliminaries Group B	Men's Preliminaries Group B	Hommes, éliminatoires, groupe B	Hommes, éliminatoires, groupe B
HB	M	400	M	6	Men's Victory Ceremony	Men's Victory Ceremony	Hommes, cérémonie de remise des médailles	Hommes, remise des médailles
HB	W	000	0	8	Women	Women	Femmes	Femmes
HB	W	000	Y	8	Handball Women's Daily Schedule	Handball Women's Daily Schedule	Handball - femmes, calendrier par jour	Handball - femmes, calendrier par jour
HB	W	400	0	8	Women	Women	Femmes	Femmes
HB	W	400	1	3	Women's Medal Matches	Women's Medal Matches	Femmes, matchs pour les médailles	Femmes, matchs médailles
HB	W	400	2	3	Women's Semifinals	Women's Semifinals	Femmes, demi-finales	Femmes, demi-finales
HB	W	400	3	3	Women's Quarterfinals	Women's Quarterfinals	Femmes, quarts de finale	Femmes, quarts de finale
HB	W	400	9	3	Women's Preliminaries	Women's Preliminaries	Femmes, éliminatoires	Femmes, éliminatoires
HB	W	400	A	3	Women's Preliminaries Group A	Women's Preliminaries Group A	Femmes, éliminatoires, groupe A	Femmes, éliminatoires, groupe A
HB	W	400	B	3	Women's Preliminaries Group B	Women's Preliminaries Group B	Femmes, éliminatoires, groupe B	Femmes, éliminatoires, groupe B
HB	W	400	M	6	Women's Victory Ceremony	Women's Victory Ceremony	Femmes, cérémonie de remise des médailles	Femmes, remise des médailles
HO	0	000	0	8	Hockey	Hockey	Hockey	Hockey
HO	0	000	Q	4	Team Managers Meetings	Team Managers Meetings	Hockey - réunion des chefs d'équipe	Hockey - réunion des chefs d'équipe
HO	0	HOC	0	8	Hockey Centre	Hockey Centre	Centre de hockey	Centre de hockey
HO	M	000	0	8	Men	Men	Hommes	Hommes
HO	M	000	Y	8	Hockey Men's Daily Schedule	Hockey Men's Daily Schedule	Hockey - hommes, calendrier par jour	Hockey - hommes, calendrier par jour
HO	M	400	0	8	Men	Men	Hommes	Hommes
HO	M	400	1	3	Men's Finals	Men's Finals	Hommes, finales	Hommes, finales
HO	M	400	2	3	Men's Semifinals	Men's Semifinals	Hommes, demi-finales	Hommes, demi-finales
HO	M	400	9	3	Men's Pool Matches	Men's Pool Matches	Hommes, éliminatoires	Hommes, éliminatoires
HO	M	400	A	3	Men's Pool A	Men's Pool A	Hommes, éliminatoires - groupe A	Hommes, éliminatoires - groupe A
HO	M	400	B	3	Men's Pool B	Men's Pool B	Hommes, éliminatoires - groupe B	Hommes, éliminatoires - groupe B
HO	M	400	M	6	Men's Victory Ceremony	Men's Victory Ceremony	Hommes, cérémonie de remise des médailles	Hommes, remise des médailles
HO	W	000	0	8	Women	Women	Femmes	Femmes
HO	W	000	Y	8	Hockey Women's Daily Schedule	Hockey Women's Daily Schedule	Hockey - femmes, calendrier par jour	Hockey - femmes, calendrier par jour
HO	W	400	0	8	Women	Women	Femmes	Femmes
HO	W	400	1	3	Women's Finals	Women's Finals	Femmes, finales	Femmes, finales
HO	W	400	2	3	Women's Semifinals	Women's Semifinals	Femmes, demi-finales	Femmes, demi-finales
HO	W	400	9	3	Women's Pool Matches	Women's Pool Matches	Femmes, éliminatoires	Femmes, éliminatoires
HO	W	400	A	3	Women's Pool A	Women's Pool A	Femmes, éliminatoires - groupe A	Femmes, éliminatoires - groupe A
HO	W	400	B	3	Women's Pool B	Women's Pool B	Femmes, éliminatoires - groupe B	Femmes, éliminatoires - groupe B
HO	W	400	M	6	Women's Victory Ceremony	Women's Victory Ceremony	Femmes, cérémonie de remise des médailles	Femmes, remise des médailles
JU	0	000	0	8	Judo	Judo	Judo	Judo
JU	0	000	N	7	Judo Draw	Judo Draw	Judo - tirage au sort	Judo - tirage au sort
JU	0	000	Y	8	Judo Daily Schedule	Judo Daily Schedule	Judo - programme par jour	Judo - programme par jour
JU	0	000	Z	8	Judo - Session	Judo - Session	Judo - session	Judo - session
JU	0	EN2	0	8	ExCeL - North Arena 2	ExCeL - North Arena 2	ExCeL - North Arena 2	ExCeL - North Arena 2
JU	M	000	0	8	Men	Men	hommes	hommes
JU	M	060	0	8	Men -60 kg	Men -60 kg	60 kg - hommes	60 kg - hommes
JU	M	060	1	3	Men -60 kg Final - Gold Medal	Men -60 kg Final - Gold Medal	60 kg - hommes, combat pour la médaille d'or	60 kg - hommes, combat or
JU	M	060	2	3	Men -60 kg Semifinals / Contests for Bronze Medal	Men -60kg Semifinals / Contests for B...	60 kg - hommes, demi-finales / combats pour la médaille de bronze	60 kg - h, 1/2 finales / combats bronze
JU	M	060	3	3	Men -60 kg Quarterfinals / Repechage	Men -60 kg Quarterfinals / Repechage	60 kg - hommes, quarts de finale  / repêchage	60 kg - h, 1/4 finale  / repêch.
JU	M	060	4	3	Men -60 kg Elimination Round of 16	Men -60 kg Elimination Round of 16	60 kg - hommes, éliminatoires	60 kg - h, éliminatoires
JU	M	060	5	3	Men -60 kg Elimination Round of 32	Men -60 kg Elimination Round of 32	60 kg - hommes, éliminatoires	60 kg - h, éliminatoires
JU	M	060	6	3	Men -60 kg Elimination Round of 64	Men -60 kg Elimination Round of 64	60 kg - hommes, éliminatoires	60 kg - h, éliminatoires
JU	M	060	M	6	Men -60 kg Victory Ceremony	Men -60 kg Victory Ceremony	60 kg - hommes, remise des médailles	60 kg - hommes, remise des médailles
JU	M	066	0	8	Men -66 kg	Men -66 kg	66 kg - hommes	66 kg - hommes
JU	M	066	1	3	Men -66 kg Final - Gold Medal	Men -66 kg Final - Gold Medal	66 kg - hommes, combat pour la médaille d'or	66 kg - hommes, combat or
JU	M	066	2	3	Men -66 kg Semifinals / Contests for Bronze Medal	Men -66 kg Semifinals / Contests for ...	66 kg - hommes, demi-finales / combats pour la médaille de bronze	66 kg - h, 1/2 finales / combats bronze
JU	M	066	3	3	Men -66 kg Quarterfinals / Repechage	Men -66 kg Quarterfinals / Repechage	66 kg - hommes, quarts de finale  / repêchage	66 kg - h, 1/4 finale  / repêch.
JU	M	066	4	3	Men -66 kg Elimination Round of 16	Men -66 kg Elimination Round of 16	66 kg - hommes, éliminatoires	66 kg - h, éliminatoires
JU	M	066	5	3	Men -66 kg Elimination Round of 32	Men -66 kg Elimination Round of 32	66 kg - hommes, éliminatoires	66 kg - h, éliminatoires
JU	M	066	6	3	Men -66 kg Elimination Round of 64	Men -66 kg Elimination Round of 64	66 kg - hommes, éliminatoires	66 kg - h, éliminatoires
JU	M	066	M	6	Men -66 kg Victory Ceremony	Men -66 kg Victory Ceremony	66 kg - hommes, remise des médailles	66 kg - hommes, remise des médailles
JU	M	073	0	8	Men -73 kg	Men -73 kg	73 kg - hommes	73 kg - hommes
JU	M	073	1	3	Men -73 kg Final - Gold Medal	Men -73 kg Final - Gold Medal	73 kg - hommes, combat pour la médaille d'or	73 kg - hommes, combat or
JU	M	073	2	3	Men -73 kg Semifinals / Contests for Bronze Medal	Men -73 kg Semifinals / Contests for ...	73 kg - hommes, demi-finales / combats pour la médaille de bronze	73 kg - h, 1/2 finales / combats bronze
JU	M	073	3	3	Men -73 kg Quarterfinals / Repechage	Men -73 kg Quarterfinals / Repechage	73 kg - hommes, quarts de finale / repêchage	73 kg - h, 1/4 finale  / repêch.
JU	M	073	4	3	Men -73 kg Elimination Round of 16	Men -73 kg Elimination Round of 16	73 kg - hommes, éliminatoires	73 kg - h, éliminatoires
JU	M	073	5	3	Men -73 kg Elimination Round of 32	Men -73 kg Elimination Round of 32	73 kg - hommes, éliminatoires	73 kg - h, éliminatoires
JU	M	073	6	3	Men -73 kg Elimination Round of 64	Men -73 kg Elimination Round of 64	73 kg - hommes, éliminatoires	73 kg - h, éliminatoires
JU	M	073	M	6	Men -73 kg Victory Ceremony	Men -73 kg Victory Ceremony	73 kg - hommes, remise des médailles	73 kg - h, remise des médailles
JU	M	081	0	8	Men -81 kg	Men -81 kg	81 kg - hommes	81 kg - hommes
JU	M	081	1	3	Men -81 kg Final - Gold Medal	Men -81 kg Final - Gold Medal	81 kg - hommes, combat pour la médaille d'or	81 kg - hommes, combat or
JU	M	081	2	3	Men -81 kg Semifinals / Contests for Bronze Medal	Men -81 kg Semifinals / Contests for ...	81 kg - hommes, demi-finales / combats pour la médaille de bronze	81 kg - h, 1/2 finales / combats bronze
JU	M	081	3	3	Men -81 kg Quarterfinals / Repechage	Men -81 kg Quarterfinals / Repechage	81 kg - hommes, quarts de finale / repêchage	81 kg - h, 1/4 finale / repêch.
JU	M	081	4	3	Men -81 kg Elimination Round of 16	Men -81 kg Elimination Round of 16	81 kg - hommes, éliminatoires	81 kg - h, éliminatoires
JU	M	081	5	3	Men -81 kg Elimination Round of 32	Men -81 kg Elimination Round of 32	81 kg - hommes, éliminatoires	81 kg - h, éliminatoires
JU	M	081	6	3	Men -81 kg Elimination Round of 64	Men -81 kg Elimination Round of 64	81 kg - hommes, éliminatoires	81 kg - h, éliminatoires
JU	M	081	M	6	Men -81 kg Victory Ceremony	Men -81 kg Victory Ceremony	81 kg - hommes, remise des médailles	81 kg - hommes, remise des médailles
JU	M	090	0	8	Men -90 kg	Men -90 kg	90 kg - hommes	90 kg - hommes
JU	M	090	1	3	Men -90 kg Final - Gold Medal	Men -90 kg Final - Gold Medal	90 kg - hommes, combat pour la médaille d'or	90 kg - hommes, combat or
JU	M	090	2	3	Men -90 kg Semifinals / Contests for Bronze Medal	Men -90 kg Semifinals / Contests for ...	90 kg - hommes, demi-finales / combats pour la médaille de bronze	90 kg - h, 1/2 finales / combats bronze
JU	M	090	3	3	Men -90 kg Quarterfinals / Repechage	Men -90 kg Quarterfinals / Repechage	90 kg - hommes, quarts de finale / repêchage	90 kg - h, 1/4 finale / repêch.
JU	M	090	4	3	Men -90 kg Elimination Round of 16	Men -90 kg Elimination Round of 16	90 kg - hommes, éliminatoires	90 kg - h, éliminatoires
JU	M	090	5	3	Men -90 kg Elimination Round of 32	Men -90 kg Elimination Round of 32	90 kg - hommes, éliminatoires	90 kg - h, éliminatoires
JU	M	090	6	3	Men -90 kg Elimination Round of 64	Men -90 kg Elimination Round of 64	90 kg - hommes, éliminatoires	90 kg - h, éliminatoires
JU	M	090	M	6	Men -90 kg Victory Ceremony	Men -90 kg Victory Ceremony	90 kg - hommes, remise des médailles	90 kg - hommes, remise des médailles
JU	M	100	0	8	Men -100 kg	Men -100 kg	100 kg - hommes	100 kg - hommes
JU	M	100	1	3	Men -100 kg Final - Gold Medal	Men -100 kg Final - Gold Medal	100 kg - hommes, combat pour la médaille d'or	100 kg - hommes, combat or
JU	M	100	2	3	Men -100 kg Semifinals / Contests for Bronze Medal	Men -100 kg Semifinals / Contests for...	100 kg - hommes, demi-finales / combats pour la médaille de bronze	100 kg - h, 1/2 finales / combats bronze
JU	M	100	3	3	Men -100 kg Quarterfinals / Repechage	Men -100 kg Quarterfinals / Repechage	100 kg - hommes, quarts de finale / repêchage	100 kg - h, 1/4 finale / repêch.
JU	M	100	4	3	Men -100 kg Elimination Round of 16	Men -100 kg Elimination Round of 16	100 kg - hommes, éliminatoires	100 kg - h, éliminatoires
JU	M	100	5	3	Men -100 kg Elimination Round of 32	Men -100 kg Elimination Round of 32	100 kg - hommes, éliminatoires	100 kg - h, éliminatoires
JU	M	100	6	3	Men -100 kg Elimination Round of 64	Men -100 kg Elimination Round of 64	100 kg - hommes, éliminatoires	100 kg - h, éliminatoires
JU	M	100	M	6	Men -100 kg Victory Ceremony	Men -100 kg Victory Ceremony	100 kg - hommes, remise des médailles	100 kg - hommes, remise des médailles
JU	M	200	0	8	Men +100 kg	Men +100 kg	+100 kg - hommes	+100 kg - hommes
JU	M	200	1	3	Men +100 kg Final - Gold Medal	Men +100 kg Final - Gold Medal	+100 kg - hommes, combat pour la médaille d'or	+100 kg - hommes, combat or
JU	M	200	2	3	Men +100 kg Semifinals / Contests for Bronze Medal	Men +100 kg Semifinals / Contests for...	+100 kg - hommes, demi-finales / combats pour la médaille de bronze	+100 kg - h, 1/2 finales / bronze
JU	M	200	3	3	Men +100 kg Quarterfinals / Repechage	Men +100 kg Quarterfinals / Repechage	+100 kg - hommes, quarts de finale / repêchage	+100 kg - h, 1/4 finale / repêch.
JU	M	200	4	3	Men +100 kg Elimination Round of 16	Men +100 kg Elimination Round of 16	+100 kg - hommes, éliminatoires	+100 kg - h, éliminatoires
JU	M	200	5	3	Men +100 kg Elimination Round of 32	Men +100 kg Elimination Round of 32	+100 kg - hommes, éliminatoires	+100 kg - h, éliminatoires
JU	M	200	6	3	Men +100 kg Elimination Round of 64	Men +100 kg Elimination Round of 64	+100 kg - hommes, éliminatoires	+100 kg - h, éliminatoires
JU	M	200	M	6	Men +100 kg Victory Ceremony	Men +100 kg Victory Ceremony	+100 kg - hommes, remise des médailles	+100 kg - hommes, remise des médailles
JU	W	000	0	8	Women	Women	Femmes	Femmes
JU	W	048	0	8	Women -48 kg	Women -48 kg	48 kg - femmes	48 kg - femmes
JU	W	048	1	3	Women -48 kg Final - Gold Medal	Women -48 kg Final - Gold Medal	48 kg - femmes, combat pour la médaille d'or	48 kg - femmes, combat or
JU	W	048	2	3	Women -48 kg Semifinals / Contests for Bronze Medal	Women -48 kg Semifinals / Contests fo...	48 kg - femmes, demi-finales / combats pour la médaille de bronze	48 kg - f, 1/2 finales / combats bronze
JU	W	048	3	3	Women -48 kg Quarterfinals / Repechage	Women -48 kg Quarterfinals / Repechage	48 kg - femmes, quarts de finale / repêchage	48 kg - f, 1/4 finale / repêch.
JU	W	048	4	3	Women -48 kg Elimination Round of 16	Women -48 kg Elimination Round of 16	48 kg - femmes, éliminatoires	48 kg - f, éliminatoires
JU	W	048	5	3	Women -48 kg Elimination Round of 32	Women -48 kg Elimination Round of 32	48 kg - femmes, éliminatoires	48 kg - f, éliminatoires
JU	W	048	6	3	Women -48 kg Elimination Round of 64	Women -48 kg Elimination Round of 64	48 kg - femmes, éliminatoires	48 kg - f, éliminatoires
JU	W	048	M	6	Women -48 kg Victory Ceremony	Women -48 kg Victory Ceremony	48 kg - femmes, remise des médailles	48 kg - femmes, remise des médailles
JU	W	052	0	8	Women -52 kg	Women -52 kg	52 kg - femmes	52 kg - femmes
JU	W	052	1	3	Women -52 kg Final - Gold Medal	Women -52 kg Final - Gold Medal	52 kg - femmes, combat pour la médaille d'or	52 kg - femmes, combat or
JU	W	052	2	3	Women -52 kg Semifinals / Contests for Bronze Medal	Women -52 kg Semifinals / Contests fo...	52 kg - femmes, demi-finales / combats pour la médaille de bronze	52 kg - f, 1/2 finale / combats bronze
JU	W	052	3	3	Women -52 kg Quarterfinals / Repechage	Women -52 kg Quarterfinals / Repechage	52 kg - femmes, quarts de finale / repêchage	52 kg - f, 1/4 finale / repêch.
JU	W	052	4	3	Women -52 kg Elimination Round of 16	Women -52 kg Elimination Round of 16	52 kg - femmes, éliminatoires	52 kg - f, éliminatoires
JU	W	052	5	3	Women -52 kg Elimination Round of 32	Women -52 kg Elimination Round of 32	52 kg - femmes, éliminatoires	52 kg - f, éliminatoires
JU	W	052	6	3	Women -52 kg Elimination Round of 64	Women -52 kg Elimination Round of 64	52 kg - femmes, éliminatoires	52 kg - f, éliminatoires
JU	W	052	M	6	Women -52 kg Victory Ceremony	Women -52 kg Victory Ceremony	52 kg - femmes remise des médailles	52 kg - femmes, remise des médailles
JU	W	057	0	8	Women -57 kg	Women -57 kg	57 kg - femmes	57 kg - femmes
JU	W	057	1	3	Women -57 kg Final - Gold Medal	Women -57 kg Final - Gold Medal	57 kg - femmes, combat pour la médaille d'or	57 kg - femmes, combat or
JU	W	057	2	3	Women -57 kg Semifinals / Contests for Bronze Medal	Women -57 kg Semifinals / Contests fo...	57 kg - femmes, demi-finales / combats pour la médaille de bronze	57 kg - f, 1/2 finales / combats bronze
JU	W	057	3	3	Women -57 kg Quarterfinals / Repechage	Women -57 kg Quarterfinals / Repechage	57 kg - femmes, quarts de finale / repêchage	57 kg - f, 1/4 finale / repêch.
JU	W	057	4	3	Women -57 kg Elimination Round of 16	Women -57 kg Elimination Round of 16	57 kg - femmes, éliminatoires	57 kg - f, éliminatoires
JU	W	057	5	3	Women -57 kg Elimination Round of 32	Women -57 kg Elimination Round of 32	57 kg - femmes, éliminatoires	57 kg - f, éliminatoires
JU	W	057	6	3	Women -57 kg Elimination Round of 64	Women -57 kg Elimination Round of 64	57 kg - femmes, éliminatoires	57 kg - f, éliminatoires
JU	W	057	M	6	Women -57 kg Victory Ceremony	Women -57 kg Victory Ceremony	57 kg - femmes, remise des médailles	57 kg - femmes, remise des médailles
JU	W	063	0	8	Women -63 kg	Women -63 kg	63 kg - femmes	63 kg - femmes
JU	W	063	1	3	Women -63 kg Final - Gold Medal	Women -63 kg Final - Gold Medal	63 kg - femmes, combat pour la médaille d'or	63 kg - femmes, combat or
JU	W	063	2	3	Women -63 kg Semifinals / Contests for Bronze Medal	Women -63 kg Semifinals / Contests fo...	63 kg - femmes, demi-finales / combats pour la médaille de bronze	63 kg - f, 1/2 finales / combats bronze
JU	W	063	3	3	Women -63 kg Quarterfinals / Repechage	Women -63 kg Quarterfinals / Repechage	63 kg - femmes, quarts de finale / repêchage	63 kg - f, 1/4 finale / repêch.
JU	W	063	4	3	Women -63 kg Elimination Round of 16	Women -63 kg Elimination Round of 16	63 kg - femmes, éliminatoires	63 kg - f, éliminatoires
JU	W	063	5	3	Women -63 kg Elimination Round of 32	Women -63 kg Elimination Round of 32	63 kg - femmes, éliminatoires	63 kg - f, éliminatoires
JU	W	063	6	3	Women -63 kg Elimination Round of 64	Women -63 kg Elimination Round of 64	63 kg - femmes, éliminatoires	63 kg - f, éliminatoires
JU	W	063	M	6	Women -63 kg Victory Ceremony	Women -63 kg Victory Ceremony	63 kg - femmes, remise des médailles	63 kg - femmes, remise des médailles
JU	W	070	0	8	Women -70 kg	Women -70 kg	70 kg - femmes	70 kg - femmes
JU	W	070	1	3	Women -70 kg Final - Gold Medal	Women -70 kg Final - Gold Medal	70 kg - femmes, combat pour la médaille d'or	70 kg - femmes, combat or
JU	W	070	2	3	Women -70 kg Semifinals / Contests for Bronze Medal	Women -70 kg Semifinals / Contests fo...	70 kg - femmes, demi-finales / combats pour la médaille de bronze	70 kg - f, 1/2 finales / combats bronze
JU	W	070	3	3	Women -70 kg Quarterfinals / Repechage	Women -70 kg Quarterfinals / Repechage	70 kg - femmes, quarts de finale / repêchage	70 kg - f, 1/4 finale / repêch.
JU	W	070	4	3	Women -70 kg Elimination Round of 16	Women -70 kg Elimination Round of 16	70 kg - femmes, éliminatoires	70 kg - f, éliminatoires
JU	W	070	5	3	Women -70 kg Elimination Round of 32	Women -70 kg Elimination Round of 32	70 kg - femmes, éliminatoires	70 kg - f, éliminatoires
JU	W	070	6	3	Women -70 kg Elimination Round of 64	Women -70 kg Elimination Round of 64	70 kg - femmes, éliminatoires	70 kg - f, éliminatoires
JU	W	070	M	6	Women -70 kg Victory Ceremony	Women -70 kg Victory Ceremony	70 kg - femmes, remise des médailles	70 kg - femmes, remise des médailles
JU	W	078	0	8	Women -78 kg	Women -78 kg	78 kg - femmes	78 kg - femmes
JU	W	078	1	3	Women -78 kg Final - Gold Medal	Women -78 kg Final - Gold Medal	78 kg - femmes, combat pour la médaille d'or	78 kg - femmes, combat or
JU	W	078	2	3	Women -78 kg Semifinals / Contests for Bronze Medal	Women -78 kg Semifinals / Contests fo...	78 kg - femmes, demi-finales / combats pour la médaille de bronze	78 kg - f, 1/2 finales / combats bronze
JU	W	078	3	3	Women -78 kg Quarterfinals / Repechage	Women -78 kg Quarterfinals / Repechage	78 kg - femmes, quarts de finale / repêchage	78 kg - f, 1/4 finale / repêch.
JU	W	078	4	3	Women -78 kg Elimination Round of 16	Women -78 kg Elimination Round of 16	78 kg - femmes, éliminatoires	78 kg - f, éliminatoires
JU	W	078	5	3	Women -78 kg Elimination Round of 32	Women -78 kg Elimination Round of 32	78 kg - femmes, éliminatoires	78 kg - f, éliminatoires
JU	W	078	6	3	Women -78 kg Elimination Round of 64	Women -78 kg Elimination Round of 64	78 kg - femmes, éliminatoires	78 kg - f, éliminatoires
JU	W	078	M	6	Women -78 kg Victory Ceremony	Women -78 kg Victory Ceremony	78 kg - femmes, remise des médailles	78 kg - femmes, remise des médailles
JU	W	178	0	8	Women +78 kg	Women +78 kg	+78 kg - femmes	+78 kg - femmes
JU	W	178	1	3	Women +78 kg Final - Gold Medal	Women +78 kg Final - Gold Medal	+78 kg - femmes, combat pour la médaille d'or	+78 kg - femmes, combat or
JU	W	178	2	3	Women +78 kg Semifinals / Contests for Bronze Medal	Women +78 kg Semifinals / Contests fo...	+78 kg- femmes, demi-finales / combats pour la médaille de bronze	+78 kg - f, 1/2 finales / combats bronze
JU	W	178	3	3	Women +78 kg Quarterfinals / Repechage	Women +78 kg Quarterfinals / Repechage	+78 kg - femmes, quarts de finale / repêchage	+78 kg - f, 1/4 finale / repêch.
JU	W	178	4	3	Women +78 kg Elimination Round of 16	Women +78 kg Elimination Round of 16	+78 kg - femmes, éliminatoires	+78 kg - f, éliminatoires
JU	W	178	5	3	Women +78 kg Elimination Round of 32	Women +78 kg Elimination Round of 32	+78 kg - femmes, éliminatoires	+78 kg - f, éliminatoires
JU	W	178	6	3	Women +78 kg Elimination Round of 64	Women +78 kg Elimination Round of 64	+78 kg - femmes, éliminatoires	+78 kg - f, éliminatoires
JU	W	178	M	6	Women +78 kg Victory Ceremony	Women +78 kg Victory Ceremony	+78 kg - femmes, remise des médailles	+78 kg - femmes, remise des médailles
MP	0	000	0	8	Modern Pentathlon	Modern Pentathlon	Pentathlon moderne	Pentathlon moderne
MP	0	000	Q	4	Modern Pentathlon Technical Meeting	Modern Pentathlon Technical Meeting	Pentathlon moderne - réunion technique	Pentathlon moderne - réunion technique
MP	0	001	R	8	Modern Pentathlon Jumping Test	Modern Pentathlon Jumping Test	Pentathlon moderne, essai de saut d'obstacles	Pentathlon moderne, essai saut d'obst.
MP	0	AQC	0	8	Aquatics Centre	Aquatics Centre	Centre aquatique	Centre aquatique
MP	0	GRP	0	8	Greenwich Park	Greenwich Park	Greenwich Park	Greenwich Park
MP	0	HBA	0	8	Handball Arena	Handball Arena	Pavillon de handball	Pavillon de handball
MP	M	000	0	8	Men	Men	Hommes	Hommes
MP	M	001	0	8	Men	Men	Hommes	Hommes
MP	M	001	A	3	Men's Fencing	Men's Fencing	Épreuve d'escrime - hommes	Épreuve d'escrime - hommes
MP	M	001	B	3	Men's Swimming	Men's Swimming	Épreuve de natation - hommes	Épreuve de natation - hommes
MP	M	001	C	3	Men's Riding	Men's Riding	Épreuve d'équitation - hommes	Épreuve d'équitation - hommes
MP	M	001	D	3	Men's Combined	Men's Combined	Épreuve combinée - hommes	Épreuve combinée - hommes
MP	M	001	M	6	Men's Victory Ceremony	Men's Victory Ceremony	Hommes, cérémonie de remise des médailles	Hommes, remise des médailles
MP	W	000	0	8	Women	Women	Femmes	Femmes
MP	W	001	0	8	Women	Women	Femmes	Femmes
MP	W	001	A	3	Women's Fencing	Women's Fencing	Épreuve d'escrime - femmes	Épreuve d'escrime - femmes
MP	W	001	B	3	Women's Swimming	Women's Swimming	Épreuve de natation - femmes	Épreuve de natation - femmes
MP	W	001	C	3	Women's Riding	Women's Riding	Épreuve d'équitation - femmes	Épreuve d'équitation - femmes
MP	W	001	D	3	Women's Combined	Women's Combined	Épreuve combinée - femmes	Épreuve combinée - femmes
MP	W	001	M	6	Women's Victory Ceremony	Women's Victory Ceremony	Femmes, cérémonie de remise des médailles	Femmes, remise des médailles
OV	0	CFH	0	8	Coffee House	Coffee House	Café	Café
OV	0	CLB	0	8	Club	Club	Club	Club
OV	0	ENP	0	8	Entertainment Programme	Entertainment Programme	Entertainment Programme	Entertainment Programme
OV	0	IFC	0	8	Interfaith Centre	Interfaith Centre	Interfaith Centre	Interfaith Centre
OV	0	IOC	0	8	IOC Athletes' Commission Election	IOC Athletes' Commission Election	IOC Athletes' Commission Election	IOC Athletes' Commission Election
OV	0	SPE	0	8	Special Events	Special Events	Évènements spéciaux	Évènements spéciaux
OV	0	TEA	0	8	Team Welcome Ceremonies	Team Welcome Ceremonies	Cérémonie de bienvenue des équipes	Cérémonie de bienvenue des équipes
OV	0	THR	0	8	Theatre	Theatre	Théâtre	Théâtre
OV	0	VTG	0	8	IOC Voting	IOC Voting	Vote du CIO	Vote du CIO
PC	0	AR0	0	5	Japanese Archery Team Press Conference	Archery Press Conference	Conférence de presse - tir à l'arc	Conférence de presse - tir à l'arc
PC	0	AT0	0	5	Athletics Press Conference	Athletics Press Conference	Conférence de presse - athlétisme	Conférence de presse - athlétisme
PC	0	BD0	0	5	Badminton Press Conference	Badminton Press Conference	Conférence de presse - badminton	Conférence de presse - badminton
PC	0	BK0	0	5	Basketball Press Conference	Basketball Press Conference	Conférence de presse - basketball	Conférence de presse - basketball
PC	0	BV0	0	5	Beach Volleyball Press Conference	Beach Volleyball Press Conference	Conférence de presse - volleyball de plage	Conférence de presse - volleyball plage
PC	0	BX0	0	5	Boxing Press Conference - Final	Boxing Press Conference - Final	Conférence de presse - boxe	Conférence de presse - boxe
PC	0	CB0	0	8	Cycling BMX Media Conference	Cycling BMX Media Conference	Cycling BMX Media Conference	Cycling BMX Media Conference
PC	0	CF0	0	5	CF Press Conference	CF Press Conference	Conférence de presse - canoë-kayak, course en ligne	Conf. de presse - canoë-kayak, ligne
PC	0	CM0	0	5	CM Bike Press Conference	CM Bike Press Conference	Conférence de presse - VTT	Conférence de presse - VTT
PC	0	CR0	0	5	CR Press Conference	CR Press Conference	Conférence de presse - cyclisme sur route	Conférence de presse - cyclisme route
PC	0	CS0	0	5	CS Press Conference	CS Press Conference	Conférence de presse - canoë-kayak slalom	Conf. de presse - canoë-kayak, slalom
PC	0	CT0	0	5	CT Press Conference	CT Press Conference	Conférence de presse - cyclisme sur piste	Conférence de presse - cyclisme piste
PC	0	DV0	0	5	Diving Press Conference	Diving Press Conference	Conférence de presse - plongeon	Conférence de presse - plongeon
PC	0	EQ0	0	5	Equestrian Press Conference	Equestrian Press Conference	Conférence de presse - équitation	Conférence de presse - équitation
PC	0	FB0	0	5	Football Press Conference	Football Press Conference	Conférence de presse - football	Conférence de presse - football
PC	0	FE0	0	5	Fencing Press Conference	Fencing Press Conference	Conférence de presse - escrime	Conférence de presse - escrime
PC	0	GA0	0	5	GA Press Conference	GA Press Conference	Conférence de presse - gymnastique artistique	Conférence de presse - gym. artistique
PC	0	GEN	0	8	General	General	Conférence de presse générale	Conférence de presse générale
PC	0	GEN	1	8	Australian Olympic Committee	Australian Olympic Committee	Comité Olympique australien	Comité Olympique australien
PC	0	GEN	2	8	Spanish Olympic Committee	Spanish Olympic Committee	Comité Olympique espagnol	Comité Olympique espagnol
PC	0	GEN	3	8	US Olympic Committee	US Olympic Committee	Comité Olympique des États-Unis	Comité Olympique des États-Unis
