Discipline	Gender	Event	phase	type	ENG longdescription	ENG Description	FRA longdescription	FRA Description
FE	M	003	3	3	Men's Sabre Individual Quarterfinals	Men's Sabre Individual Quarterfinals	Sabre individuel - hommes, quarts de finale	Sabre individuel - hommes, 1/4 finale
FE	M	003	4	3	Men's Sabre Individual Round of 16	Men's Sabre Individual Round of 16	Sabre individuel - hommes, 8es finale	Sabre individuel - hommes, 1/8 finale
FE	M	003	5	3	Men's Sabre Individual Round of 32	Men's Sabre Individual Round of 32	Sabre individuel - hommes, 16es finale	Sabre individuel - hommes, 1/16 finale
FE	M	003	6	3	Men's Sabre Individual Round of 64	Men's Sabre Individual Round of 64	Sabre individuel - hommes, 32es finale	Sabre individuel - hommes, 1/32 finale
FE	M	003	M	6	Men's Sabre Individual Victory Ceremony	Men's Sabre Individual Victory Ceremony	Sabre individuel - hommes, cérémonie de remise des médailles	Sabre individuel - hommes, remise méd.
FE	M	401	0	8	Men's Foil Team	Men's Foil Team	Fleuret par équipes - hommes	Fleuret par équipes - hommes
FE	M	401	1	3	Men's Foil Team Finals	Men's Foil Team Finals	Fleuret par équipes - hommes, finales	Fleuret par équipes - hommes, finales
FE	M	401	2	3	Men's Foil Team Semifinals	Men's Foil Team Semifinals	Fleuret par équipes - hommes, demi-finales	Fleuret par équipes - hom., 1/2 finales
FE	M	401	3	3	Men's Foil Team Quarterfinals	Men's Foil Team Quarterfinals	Fleuret par équipes - hommes, quarts de finale	Fleuret par équipes - hommes, 1/4 finale
FE	M	401	4	3	Men's Foil Team Round of 16	Men's Foil Team Round of 16	Fleuret par équipes - hommes, 8es finale	Fleuret par équipes - hommes, 1/8 finale
FE	M	401	M	6	Men's Foil Team Victory Ceremony	Men's Foil Team Victory Ceremony	Fleuret par équipes - hommes, cérémonie de remise des médailles	Fleuret par équipes - hom., remise méd.
FE	M	403	0	8	Men's Sabre Team	Men's Sabre Team	Sabre par équipes - hommes	Sabre par équipes - hommes
FE	M	403	1	3	Men's Sabre Team Finals	Men's Sabre Team Finals	Sabre par équipes - hommes, finales	Sabre par équipes - hommes, finales
FE	M	403	2	3	Men's Sabre Team Semifinals	Men's Sabre Team Semifinals	Sabre par équipes - hommes, demi-finales	Sabre par équipes - hommes, 1/2 finales
FE	M	403	3	3	Men's Sabre Team Quarterfinals	Men's Sabre Team Quarterfinals	Sabre par équipes - hommes, quarts de finale	Sabre par équipes - hommes, 1/4 finale
FE	M	403	4	3	Men's Sabre Team Round of 16	Men's Sabre Team Round of 16	Sabre par équipes - hommes, 8es finale	Sabre par équipes - hommes, 1/8 finale
FE	M	403	M	6	Men's Sabre Team Victory Ceremony	Men's Sabre Team Victory Ceremony	Sabre par équipes - hommes, cérémonie de remise des médailles	Sabre par équipes - hommes, remise méd.
FE	W	000	0	8	Women	Women	Femmes	Femmes
FE	W	001	0	8	Women's Foil Individual	Women's Foil Individual	Fleuret individuel - femmes	Fleuret individuel - femmes
FE	W	001	1	3	Women's Foil Individual Finals	Women's Foil Individual Finals	Fleuret individuel - femmes, finales	Fleuret individuel - femmes, finales
FE	W	001	2	3	Women's Foil Individual Semifinals	Women's Foil Individual Semifinals	Fleuret individuel - femmes, demi-finales	Fleuret individuel - femmes, 1/2 finales
FE	W	001	3	3	Women's Foil Individual Quarterfinals	Women's Foil Individual Quarterfinals	Fleuret individuel - femmes, quarts de finale	Fleuret individuel - femmes, 1/4 finale
FE	W	001	4	3	Women's Foil Individual Round of 16	Women's Foil Individual Round of 16	Fleuret individuel - femmes, 8es de finale	Fleuret individuel - femmes, 1/8 finale
FE	W	001	5	3	Women's Foil Individual Round of 32	Women's Foil Individual Round of 32	Fleuret individuel - femmes, 16es de finale	Fleuret individuel - femmes, 1/16 finale
FE	W	001	6	3	Women's Foil Individual Round of 64	Women's Foil Individual Round of 64	Fleuret individuel - femmes, 32es de finale	Fleuret individuel - femmes, 1/32 finale
FE	W	001	M	6	Women's Foil Individual Victory Ceremony	Women's Foil Individual Victory Ceremony	Fleuret individuel - femmes, cérémonie de remise des médailles	Fleuret individuel - femmes, remise méd.
FE	W	002	0	8	Women's Epee Individual	Women's Epee Individual	Épée individuelle - femmes	Épée individuelle - femmes
FE	W	002	1	3	Women's Epee Individual Finals	Women's Epee Individual Finals	Épée individuelle - femmes, finales	Épée individuelle - femmes, finales
FE	W	002	2	3	Women's Epee Individual Semifinals	Women's Epee Individual Semifinals	Épée individuelle - femmes, demi-finales	Épée individuelle - femmes, 1/2 finales
FE	W	002	3	3	Women's Epee Individual Quarterfinals	Women's Epee Individual Quarterfinals	Épée individuelle - femmes, quarts de finale	Épée individuelle - femmes, 1/4 finale
FE	W	002	4	3	Women's Epee Individual Round of 16	Women's Epee Individual Round of 16	Épée individuelle - femmes, 8es finale	Épée individuelle - femmes, 1/8 finale
FE	W	002	5	3	Women's Epee Individual Round of 32	Women's Epee Individual Round of 32	Épée individuelle - femmes, 16es finale	Épée individuelle - femmes, 1/16 finale
FE	W	002	6	3	Women's Epee Individual Round of 64	Women's Epee Individual Round of 64	Épée individuelle - femmes, 32es finale	Épée individuelle - femmes, 1/32 finale
FE	W	002	M	6	Women's Epee Individual Victory Ceremony	Women's Epee Individual Victory Ceremony	Épée individuelle - femmes, cérémonie de remise des médailles	Épée individuelle - femmes, remise méd.
FE	W	003	0	8	Women's Sabre Individual	Women's Sabre Individual	Sabre individuel - femmes	Sabre individuel - femmes
FE	W	003	1	3	Women's Sabre Individual Finals	Women's Sabre Individual Finals	Sabre individuel - femmes, finales	Sabre individuel - femmes, finales
FE	W	003	2	3	Women's Sabre Individual Semifinals	Women's Sabre Individual Semifinals	Sabre individuel - femmes, demi-finales	Sabre individuel - femmes, 1/2 finales
FE	W	003	3	3	Women's Sabre Individual Quarterfinals	Women's Sabre Individual Quarterfinals	Sabre individuel - femmes, quarts de finale	Sabre individuel - femmes, 1/4 finale
FE	W	003	4	3	Women's Sabre Individual Round of 16	Women's Sabre Individual Round of 16	Sabre individuel - femmes, 8es finale	Sabre individuel - femmes, 1/8 finale
FE	W	003	5	3	Women's Sabre Individual Round of 32	Women's Sabre Individual Round of 32	Sabre individuel - femmes, 16es finale	Sabre individuel - femmes, 1/16 finale
FE	W	003	6	3	Women's Sabre Individual Round of 64	Women's Sabre Individual Round of 64	Sabre individuel - femmes, 32es finale	Sabre individuel - femmes, 1/32 finale
FE	W	003	M	6	Women's Sabre Individual Victory Ceremony	Women's Sabre Individual Victory Cere...	Sabre individuel - femmes, cérémonie de remise des médailles	Sabre individuel - femmes, remise méd.
FE	W	401	0	8	Women's Foil Team	Women's Foil Team	Fleuret par équipes - femmes	Fleuret par équipes - femmes
FE	W	401	1	3	Women's Foil Team Finals	Women's Foil Team Finals	Fleuret par équipes - femmes, finales	Fleuret par équipes - femmes, finales
FE	W	401	2	3	Women's Foil Team Semifinals	Women's Foil Team Semifinals	Fleuret par équipes - femmes, demi-finales	Fleuret par équipes - fem., 1/2 finales
FE	W	401	3	3	Women's Foil Team Quarterfinals	Women's Foil Team Quarterfinals	Fleuret par équipes - femmes, quarts de finale	Fleuret par équipes - femmes, 1/4 finale
FE	W	401	4	3	Women's Foil Team Round of 16	Women's Foil Team Round of 16	Fleuret par équipes - femmes, 8es finale	Fleuret par équipes - femmes, 1/8 finale
FE	W	401	M	6	Women's Foil Team Victory Ceremony	Women's Foil Team Victory Ceremony	Fleuret par équipes - femmes, cérémonie de remise des médailles	Fleuret par équipes - fem., remise méd.
FE	W	402	0	8	Women's Epee Team	Women's Epee Team	Épée par équipes - femmes	Épée par équipes - femmes
FE	W	402	1	3	Women's Epee Team Finals	Women's Epee Team Finals	Épée par équipes - femmes, finales	Épée par équipes - femmes, finales
FE	W	402	2	3	Women's Epee Team Semifinals	Women's Epee Team Semifinals	Épée par équipes - femmes, demi-finales	Épée par équipes - femmes, 1/2 finales
FE	W	402	3	3	Women's Epee Team Quarterfinals	Women's Epee Team Quarterfinals	Épée par équipes - femmes, quarts de finale	Épée par équipes - femmes, 1/4 finale
FE	W	402	4	3	Women's Epee Team Round of 16	Women's Epee Team Round of 16	Épée par équipes - femmes, 8es finale	Épée par équipes - femmes, 1/8 finale
FE	W	402	M	6	Women's Epee Team Victory Ceremony	Women's Epee Team Victory Ceremony	Épée par équipes - femmes, cérémonie de remise des médailles	Épée par équipes - femmes, remise méd.
GA	0	000	0	8	Gymnastics Artistic	Gymnastics Artistic	Gymnastique artistique	Gymnastique artistique
GA	0	000	1	8	Apparatus Final	Apparatus Final	Finales par agrès	Finales par agrès
